date,source,unittest,e2e
2019-12-26 09:48:50 +0200,0,0,0
2019-12-27 10:08:37 +0200,0,0,0
2019-12-27 10:39:42 +0200,0,0,5
2019-12-27 15:10:28 +0200,2,3,5
2019-12-27 17:44:32 +0200,21,3,5
2019-12-28 13:05:36 +0200,21,3,5
2019-12-28 15:07:45 +0200,21,3,19
2019-12-30 11:10:22 +0200,54,14,19
2019-12-31 10:04:25 +0200,52,12,19
2019-12-31 10:09:51 +0200,52,12,20
2019-12-31 10:13:11 +0200,52,12,20
2020-01-01 16:27:04 +0200,53,12,20
2020-01-01 16:29:16 +0200,58,12,20
2020-01-01 16:51:12 +0200,58,12,20
2020-01-01 17:14:43 +0200,59,12,20
2020-01-01 17:22:54 +0200,59,12,20
2020-01-05 12:12:44 +0200,58,12,20
2020-01-05 19:00:33 +0200,59,34,20
2020-01-05 19:38:22 +0200,59,37,20
2020-01-05 19:42:56 +0200,59,37,20
2020-01-05 20:14:56 +0200,61,48,20
2020-01-06 10:05:19 +0200,61,45,20
2020-01-06 10:09:22 +0200,61,48,20
2020-01-06 10:19:10 +0200,61,48,20
2020-01-06 10:32:03 +0200,61,47,20
2020-01-06 12:05:14 +0200,61,51,20
2020-01-06 18:23:11 +0200,61,47,20
2020-01-06 18:46:51 +0200,61,47,20
2020-01-07 19:18:28 +0200,62,54,20
2020-01-07 19:42:58 +0200,64,59,20
2020-01-08 19:01:06 +0200,66,58,20
2020-01-08 19:06:34 +0200,67,63,20
2020-01-12 11:33:36 +0200,67,53,20
2020-01-12 12:00:04 +0200,63,53,20
2020-01-12 12:00:47 +0200,63,53,20
2020-01-12 12:12:38 +0200,68,53,20
2020-01-12 12:47:24 +0200,70,59,20
2020-01-12 13:33:16 +0200,72,80,20
2020-01-12 19:02:34 +0200,72,85,20
2020-01-12 19:41:58 +0200,75,107,20
2020-01-15 19:13:12 +0200,75,107,20
2020-01-17 09:07:29 +0200,86,121,20
2020-01-17 09:35:28 +0200,88,130,20
2020-01-17 10:29:47 +0200,88,130,20
2020-01-17 10:37:32 +0200,88,130,20
2020-01-17 10:40:12 +0200,88,130,20
2020-01-17 16:10:01 +0200,88,130,20
2020-01-18 09:59:02 +0200,88,131,20
2020-01-18 10:05:08 +0200,88,131,20
2020-01-18 10:17:59 +0200,88,135,20
2020-01-18 11:38:08 +0200,88,135,20
2020-01-18 12:28:58 +0200,91,135,20
2020-01-18 15:07:34 +0200,95,142,20
